word,uzbek,rus,example,audio_url,image_url
olive,zaytun,оливка,"I’d like some olives instead, please.",,
museum,muzey,музей,There’s a museum about the history of the town.,,
heater,isitgich,������������,There�s a heater in the room.,,
bought,sotib oldi,купил,I bought Nick a present.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bought--_gb_1.mp3,https://images.pexels.com/photos/7620862/pexels-photo-7620862.jpeg?auto=compress&cs=tinysrgb&h=350
gym,sport zal,��������,"It has a lot of good facilities: tennis, mini-golf and a gym.",,
kettle,choynak,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/kettle--_gb_1.mp3,https://i.ebayimg.com/images/g/MjYAAOSwyHdhpgM7/s-l400.jpg
visit,tashrif buyurmoq,посещать,So can people visit the place?,,
broken,sindirilgan,сломанный,She has broken her arm.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/broken--_gb_1.mp3,https://images.pexels.com/photos/209235/pexels-photo-209235.jpeg?auto=compress&cs=tinysrgb&h=350
freeze,muzlamoq,замерзать,We're going to freeze if we go outside.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/freeze--_gb_1.mp3,https://images.pexels.com/photos/302743/pexels-photo-302743.jpeg?auto=compress&cs=tinysrgb&h=350
Portuguese,portugal,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/portuguese--_gb_1.mp3,https://www.wein.plus/uploads/editor/images/6739/Portugal-Landkarte.jpg
chicken,tovuq go‘shti,курица,Could I have the grilled chicken?,,
clap,qarsak chalmoq,хлопать,"When it finished, people stood up and clapped.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/clap--_gb_1.mp3,https://images.pexels.com/photos/2774565/pexels-photo-2774565.jpeg?auto=compress&cs=tinysrgb&h=350
festival,festival,���������,Mt. Angel has a famous festival.,,
unhealthy,nofoydali,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/unhealthy--_gb_1.mp3,https://www.eatthis.com/wp-content/uploads/sites/4/2024/01/Unhealthy-foods.jpg?quality=82&strip=1
repair,ta'mirlamoq,ремонтировать,Repair some broken furniture.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/repair--_gb_1.mp3,https://images.pexels.com/photos/210881/pexels-photo-210881.jpeg?auto=compress&cs=tinysrgb&h=350
roast,qovurmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/roast--_gb_1.mp3,https://www.simplyrecipes.com/thmb/KAUCCGjMOMJEdGjGqpTJq91Na_I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipes-Roast-Beef-METHOD-4-3fb2b106c25348bea8273625f6697331.jpg
travel,sayohat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/travel--_gb_1.mp3,https://as2.ftcdn.net/jpg/04/49/40/35/1000_F_449403530_UuZ4woGFRjSwInWAGNBIFyzOGafRCgXW.jpg
first-aid kit,birinchi yordam qutisi,аптечка,What happens if we need the first-aid kit?,,https://images.pexels.com/photos/31837694/pexels-photo-31837694.jpeg?auto=compress&cs=tinysrgb&h=350
messy,tartibsiz,неряшливый,I’m a messy worker.,,
opera,opera,опера,I sometimes go to the opera with my cousin.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/opera--_gb_1.mp3,https://images.pexels.com/photos/6899765/pexels-photo-6899765.jpeg?auto=compress&cs=tinysrgb&h=350
uncle,togâa/ama,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/uncle--_gb_1.mp3,https://alphabiolabsusa.com/wp-content/uploads/2024/07/National-Aunt-and-Uncle-Day-2024.jpg
trek,tog' yurishi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/trek--_gb_1.mp3,https://www.intrepidtravel.com/adventures/wp-content/uploads/2015/02/Intrepid-Travel-Chile-Patagonia-trekking-002.jpg
old-fashioned,eskicha,старомодный,My house is very old-fashioned.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056232338-lauren.mp3,https://images.pexels.com/photos/34874945/pexels-photo-34874945.jpeg?auto=compress&cs=tinysrgb&h=350
vending machine,avtomat (savdo),торговый автомат,Can you buy eggs from a vending machine?,,
single,bir martalik,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/single--_gb_1.mp3,https://image.stern.de/34664004/t/t1/v5/w1440/r1.7778/-/single-wie-veraendert-sich-die-persoenlichkeit.jpg
arrive,yetib kelmoq,���������,I arrive in Barcelona at four o�clock.,,
met,uchrashdim (meet),встретил,I’ve never met a famous person.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/met--_gb_1.mp3,https://images.pexels.com/photos/27684547/pexels-photo-27684547.jpeg?auto=compress&cs=tinysrgb&h=350
clever,aqlli,,Your daughter's really clever,https://ssl.gstatic.com/dictionary/static/sounds/oxford/clever--_gb_1.mp3,https://images.pexels.com/photos/277092/pexels-photo-277092.jpeg?auto=compress&cs=tinysrgb&h=350
tourist information centre,sayyohlik ma'lumot markazi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tourist information centre--_gb_1.mp3,https://www.visitgreenwich.org.uk/imageresizer/?image=%2Fdmsimgs%2FTIC_Desk_149821053.jpg&action=OpenGraph
scarf,sharf,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/scarf--_gb_1.mp3,https://i.etsystatic.com/11833181/r/il/3723ff/5592212664/il_fullxfull.5592212664_9pll.jpg
